#,References,Value,Footprint,Qty,MFR Part #,JLCPCB #,Manufacturer,Description
1,"C19, C27, C29, C36, C37, C44, C46, C53, C54, C55, C57, C58, C60, C61, C62, C64, C65, C67, C68, C69, C71, C73, C74, C77, C78, C79, C81, C82, C83, C84, C86, C87, C88, C90, C91, C92",100nF,C0603,36,GRM188R71C104KA01D,C45000,Murata Electronics,100nF 16V X7R ±10% MLCC
2,"C1, C3, C10, C13, C14, C16, C17, C35, C48, C56, C59, C63, C66, C70, C72, C75, C76, C80, C85, C89, C93, C94",1uF,C0603,22,CL10A105KO8NNNC,C1592,Samsung Electro-Mechanics,16V 1uF X5R ±10% MLCC
3,"C18, C21, C22, C23, C25, C26, C30, C31, C34, C38, C40, C43, C47",22uF,C0805,13,C2012X5R1A226KT000N,C76634,TDK,10V 22uF X5R ±10% MLCC
4,"C2, C4, C5, C6, C9, C11, C12, C15",10uF,C0805,8,GRM21BR61H106KE43L,C440198,Murata Electronics,10uF 50V X5R ±10% MLCC
5,"C7, C8",470nF,C0603,2,CC0603KRX7R9BB474,C513577,YAGEO,470nF 50V X7R ±10% MLCC
6,"C24, C28",47uF,C1210,2,GRM32ER71A476KE15L,C84494,Murata Electronics,10V 47uF X7R ±10% MLCC
7,"C49, C52",8.2pF,C0402,2,CC0402CRNPO9BN8R2,C260529,YAGEO,50V 8.2pF NP0 MLCC
8,"C50, C51",2.2pF,C0402,2,GJM1555C1H2R2WB01D,C88887,Murata Electronics,2.2pF 50V C0G MLCC
9,C33,22pF,C0402,1,0402CG220J500NT,C1555,FH (Guangdong Fenghua),22pF 50V C0G ±5% MLCC
10,C41,4.7uF,C0603,1,CL10A475KP8NNNC,C1705,Samsung Electro-Mechanics,10V 4.7uF X5R ±10% MLCC
11,C45,2.2uF,C0603,1,CL10A225KP8NNNC,C1607,Samsung Electro-Mechanics,10V 2.2uF X5R ±10% MLCC
12,"R2, R4, R6, R34",10kΩ,R0603,4,0603WAF1002T5E,C25804,UNI-ROYAL,10kΩ ±1% 100mW Thick Film
13,"R14, R16, R27, R30",10kΩ,R0603,4,0603WAJ0103T5E,C25804,UNI-ROYAL,10kΩ ±1% 100mW Thick Film
14,"R21, R22, R24, R25",1.5kΩ,R0402,4,0402WGF1501TCE,C25867,UNI-ROYAL,1.5kΩ ±1% 62.5mW Thick Film
15,"R12, R13, R37",100kΩ,R0603,3,RC0603FR-07100KL,C14675,YAGEO,100kΩ ±1% 100mW Thick Film
16,"R31, R33, R36",68Ω,R0402,3,0402WGJ0680TCE,C25178,UNI-ROYAL,68Ω ±5% 62.5mW Thick Film
17,"R3, R5",47kΩ,R0603,2,0603WAF4702T5E,C25819,UNI-ROYAL,47kΩ ±1% 100mW Thick Film
18,"R7, R8",5.1kΩ,R0805,2,RMC08055.1K1%N,C269748,TyoHM,5.1kΩ ±1% 125mW Thick Film
19,"R23, R26",2.2kΩ,R0402,2,0402WGF2201TCE,C25879,UNI-ROYAL,2.2kΩ ±1% 62.5mW Thick Film
20,"R28, R29",200Ω,R0603,2,0603WAF2000T5E,C8218,UNI-ROYAL,200Ω ±1% 100mW Thick Film
21,"R32, R35",1kΩ,R0402,2,0402WGF1001TCE,C11702,UNI-ROYAL,1kΩ ±1% 62.5mW Thick Film
22,R1,27kΩ,R0603,1,0603WAF2702T5E,C22967,UNI-ROYAL,27kΩ ±1% 100mW Thick Film
23,R9,56.2kΩ,R0603,1,0603WAF5622T5E,C23080,UNI-ROYAL,56.2kΩ ±1% 100mW Thick Film
24,R10,115kΩ,R0603,1,0603WAF1153T5E,C22783,UNI-ROYAL,115kΩ ±1% 100mW Thick Film
25,R11,18.7kΩ,R0603,1,0603WAF1872T5E,C22893,UNI-ROYAL,18.7kΩ ±1% 100mW Thick Film
26,R15,150kΩ,R0603,1,0603WAF1503T5E,C22807,UNI-ROYAL,150kΩ ±1% 100mW Thick Film
27,R19,91kΩ,R0603,1,0603WAF9102T5E,C23265,UNI-ROYAL,91kΩ ±1% 100mW Thick Film
28,R20,20kΩ,R0603,1,0603WAF2002T5E,C4184,UNI-ROYAL,20kΩ ±1% 100mW Thick Film
29,L1,240nH,IND-SMD_L3.0-W3.0_MAI3015S,1,MAI3015S-R24MT,C520265,Ceaiya,240nH 5A Power Inductor
30,L2,2.7uH,IND-SMD_DH0630H-1R5M,1,DH0630H-2R7M,C41407066,dehongganying,2.7uH 12A Power Inductor
31,L4,2.2uH,IND-SMD_L4.5-W4.1_GSSM0420,1,SL0420-2R2M,C22463806,TECHFUSE,2.2uH 4.5A Inductor
32,L5,12uH,IND-SMD_L4.8-W4.8,1,LPS5030-123MRC,C22385343,Coilcraft,12uH 1.4A Shielded Power Inductor
33,D1,TVS,SOD-523_L1.2-W0.8-LS1.6-BI,1,LESD5D5.0CT1G,C383211,LRC,150W Bidirectional TVS 5V SOD-523
